,Molecule ChEMBL ID,Canonical_Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3624,CHEMBL419501,COC[C@H]1CCCN1C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.070581074285707,495.12698717200004,6,2,4.741400000000003,True
3625,CHEMBL477197,Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2,5.468521082957745,302.079038168,6,5,1.3204999999999993,True
3626,CHEMBL1929303,Fc1ccccc1-c1nnc(SCc2ccccc2)o1,5.291579099865287,286.05761219199997,4,0,4.168000000000003,True
3627,CHEMBL116547,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O,6.1249387366083,447.114043772,7,3,5.035280000000005,True
3628,CHEMBL1956889,Cc1ccccc1Cn1ccc2c(Nc3cccc(Br)c3)nc(N)nc21,3.9457700901366026,407.07455767600004,5,2,4.876320000000002,True
3629,CHEMBL1254444,COc1ccc(OC)c(Cc2cc3c(N(C)c4cccc(Br)c4)nc(N)nc3[nH]2)c1,3.843148098929989,467.09568704400016,6,2,4.678500000000002,True
3631,CHEMBL1241682,Cc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2n1,4.0,318.159294576,6,1,3.513020000000001,True
3632,CHEMBL594790,CCCCC(Cc1coc2nc(N)nc(N)c12)c1ccccc1OC,4.872895201635193,340.189926008,6,2,3.912300000000001,True
3633,CHEMBL306732,CN(C)c1ccc(Nc2ncnc3cc(-c4ccccc4)sc23)cc1,7.026872146400302,346.125217576,5,1,5.167900000000003,True
3634,CHEMBL1095957,NCCc1c[nH]c2ccc(OCCc3ccc(O)cc3)cc12,5.684029654543082,296.15247788,3,3,2.9962000000000018,True
3635,CHEMBL1221512,CC[C@H](C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(C)(=O)=O)C(=O)OC(C)C)NC[C@@H](N)CS,5.492683959923586,559.27497816,9,4,1.746800000000003,True
